21	Interfax	МЧС РФ проведет летом учения "Безопасная Арктика"	Rusya Acil Durumlar Bakanlığı Yaz Aylarında "Güvenli Arktika" Tatbikatını Gerçekleştirecek
22	Soldat und Technik	Russland macht aus Luftverteidigung neue Artillerie	Rusya, Hava Savunmasından Yeni Bir Topçu Yaratıyor
23	TASS	Russia’s grain, oilseed harvests in 2026 exceed last year’s levels	Rusya'nın 2026 Tahıl ve Yağlı Tohum Hasadı Geçen Yılın Seviyelerini Aştı
24	TASS	Ukrainian forces try their best to prevent Russian kids from receiving education — envoy	Ukrayna Kuvvetleri Rus Çocukların Eğitim Almasını Engellemek için Ellerinden Geleni Yapıyor — Temsilci
25	Defence24 (EN)	Magyar says no to the Carpathian Eight	Magyar, Karpat Sekizlisi'ne Hayır Dedi
26	SCMP (Çin)	China breaks ground on the world’s first supercritical CO2 and molten salt energy plant	Çin, Dünyanın İlk Süperkritik CO2 ve Erimiş Tuz Enerji Santralinin Temelini Attı
27	SavunmaSanayiST	AKINCI Düşürmüştü: Çin İHA’sının Enkazı Görüntülendi	AKINCI Düşürmüştü: Çin İHA'sının Enkazı Görüntülendi
28	TASS	Delegates from 11 countries unfriendly to Russia to attend United Cultures Forum	Rusya'ya Düşman 11 Ülkeden Delegeler United Cultures Forumu'na Katılacak
29	Defence24 (PL)	UE zgodziła się na zniesienie sankcji wobec rosyjskich oligarchów	AB, Rus Oligarklara Yönelik Yaptırımların Kaldırılmasını Kabul Etti
30	The War Zone	Torpedo Fired From Uncrewed Submarine For The First Time By U.S., U.K.	ABD ve İngiltere, İnsansız Denizaltıdan İlk Kez Torpido Fırlattı
31	Defence24 (EN)	Poland, France, and Spain in joint air exercises	Polonya, Fransa ve İspanya Ortak Hava Tatbikatında
32	Soldat und Technik	Morana statt Archer: Lettland entscheidet sich bei Artillerie um	Archer Yerine Morana: Letonya Topçuda Kararını Değiştirdi
33	SCMP (Çin)	US, Japan and South Korea launch economic-security talks before Xi summit	ABD, Japonya ve Güney Kore, Xi Zirvesi Öncesi Ekonomik Güvenlik Görüşmelerini Başlattı
34	Opex360	Mer Rouge : Londres accorde un soutien militaire à Riyad tandis que l’Union européenne veut renforcer l’opération Aspides	Kızıldeniz: Londra Riyad'a Askeri Destek Verirken AB, Aspides Operasyonunu Güçlendirmek İstiyor
35	Defence24 (PL)	Obowiązkowe szkolenie, milionowa rezerwa i broń o zasięgu 2000 km. Morawiecki i Dworczyk przedstawili plan dla armii	Zorunlu Eğitim, Milyonluk Yedek Kuvvet ve 2000 km Menzilli Silah. Morawiecki ve Dworczyk Ordu İçin Planı Sundu
36	Soldat und Technik	Norwegen bestellt drei weitere WiSENT 2 Bergepanzer bei FFG	Norveç, FFG'den Üç Ek WiSENT 2 Kurtarma Tankı Sipariş Etti
37	Defence Security Asia	KF-21 Boramae Pertama Diserah kepada Tentera Udara Korea Selatan, Uji Imbangan Kuasa Indo-Pasifik	İlk KF-21 Boramae Güney Kore Hava Kuvvetleri'ne Teslim Edildi, Hint-Pasifik Güç Dengesi Sınanıyor
38	Indian Defence News	Multinational Sky War: IAF Pilots To Train With US F-35 Stealth Jets For The First Time In Historic Tarang Exercise	Çok Uluslu Gökyüzü Savaşı: IAF Pilotları Tarihi Tarang Tatbikatında İlk Kez ABD F-35 Hayalet Uçaklarıyla Eğitim Alacak
39	Army Technology	Ukraine codifies Dodge RAM 5500-based armoured pickup	Ukrayna, Dodge RAM 5500 Tabanlı Zırhlı Pikabı Envanterine Kattı
40	Defence Security Asia	MQ-4C Triton Australia Kini Beroperasi, Perluas Pengawasan Indo-Pasifik	MQ-4C Triton Avustralya'da Artık Operasyonel, Hint-Pasifik Gözetimini Genişletiyor
41	TASS	Russian Permanent Mission staff in New York can move only within '25-mile zone' — MFA	Rusya'nın New York'taki Daimi Temsilciliği Personeli Yalnızca '25 Millik Bölge' İçinde Hareket Edebiliyor — Dışişleri Bakanlığı
42	Indian Defence News	Trump Renews Rhetoric of Ending India–Pakistan Conflict, Calls Pak PM 'Terrific Man'	Trump, Hindistan-Pakistan Çatışmasını Sona Erdirme Söylemini Yineledi, Pakistan Başbakanına 'Harika Adam' Dedi
43	TASS	ISU grants neutral status to 13 more Russian figure skaters — statement	ISU, 13 Rus Artistik Patenci Daha Nötr Statü Verdi — Açıklama
44	Defence24 (PL)	USA planują dwie nowe bazy na Grenlandii. Umowa jeszcze dziś	ABD, Grönland’da İki Yeni Üs Planlıyor. Anlaşma Bugün
45	Defence24 (PL)	Szef MON potwierdza zmianę na czele wojsk dronowych: gen. Bodnar wykonał zadanie	Milli Savunma Bakanı, Dron Kuvvetlerinin Başındaki Değişikliği Doğruladı: General Bodnar Görevini Tamamladı
46	SavunmaSanayiST	TCG KEMALREİS Suudi Arabistan’da: Kızıldeniz Kıyısında	TCG KEMALREİS Suudi Arabistan'da: Kızıldeniz Kıyısında
47	Interfax	FT узнала о планах миллиардера Тодда Боэли купить зарубежные активы "ЛУКОЙЛа"	FT, Milyarder Todd Boehly'nin "LUKOYL"un Yurt Dışı Varlıklarını Satın Alma Planlarını Öğrendi
48	TASS	Trump ready to meet with Iranian delegation at UNGA if conditions right — CNN	Trump, Koşullar Uygunsa BM Genel Kurulu'nda İran Heyetiyle Görüşmeye Hazır — CNN
49	Defence24 (EN)	Do it like a banker. How Mark Carney is pitching Canada to global investors	Bir Bankacı Gibi Yap. Mark Carney Kanada'yı Küresel Yatırımcılara Nasıl Sunuyor
50	Kookbang Ilbo	최고를 가리는 ‘핏빛 사투’	En iyisini seçen kanlı mücadele
51	defenceWeb	Safomar Aviation receives another Enstrom 480B	Safomar Aviation Bir Enstrom 480B Daha Teslim Aldı
52	Soldat und Technik	Wie wehrbereit sind wir? Die neue Bevölkerungsbefragung 2026	Savunmaya Ne Kadar Hazırız? 2026 Yeni Halk Anketi
53	DroneLife	Unauthorized Drones Divert Firefighting Aircraft at California’s Timber Fire	Yetkisiz Dronlar, Kaliforniya'daki Timber Yangınında Yangın Söndürme Uçaklarını Yönlendirdi
54	SCMP (Çin)	Some of China’s 11,000 mega bridges could be at risk from small drones: study	Çin'in 11.000 Mega Köprüsünden Bazıları Küçük Dronlardan Risk Altında Olabilir: Araştırma
55	Defence24 (PL)	Kosiniak-Kamysz o przełożonej wizycie w Pentagonie: Powodem Chiny	Kosiniak-Kamysz, Ertelenen Pentagon Ziyaretini Değerlendirdi: Sebep Çin
56	DroneXL	DJI Neo 3 Leak Is Recycled Box Art, and the Vents Gave It Away	DJI Neo 3 Sızıntısı Geri Dönüştürülmüş Kutu Görseli Çıktı, Havalandırmalar Ele Verdi
57	Defence Security Asia	Iran Dakwa Tembak Jatuh MQ-1 AS di Hormuz, Cabar Pengawasan Washington	İran, Hürmüz'de ABD'ye Ait MQ-1'i Düşürdüğünü İddia Etti, Washington'un Gözetimine Meydan Okuyor
58	Interfax	Доступ к пляжам Сочи открыт после отмены угрозы атаки безэкипажных катеров	Soçi Plajlarına Erişim, İnsansız Tekne Saldırısı Tehdidinin Kaldırılmasının Ardından Açıldı
59	Kookbang Ilbo	안보현장 속으로…경계작전 이해 높였다	Güvenlik Sahasının İçine... Nöbet Operasyonu Anlayışı Arttı
60	The War Zone	Every American Aircraft Lost Or Damaged During The Iran War, Visualized	İran Savaşı Sırasında Kaybedilen veya Hasar Gören Tüm Amerikan Uçakları Görselleştirildi
61	TASS	OPEC, India discuss global oil market stability	OPEC ve Hindistan, Küresel Petrol Piyasası İstikrarını Görüştü
62	Analisi Difesa	Agenzia Nova: i russi sbarcano mezzi a Tobruk per l’Africa Corps e l’esercito di Haftar	Agenzia Nova: Ruslar, Africa Corps ve Hafter'in Ordusu için Tobruk'a Araç Çıkardı
63	Army Technology	Delivery of UK’s future tank capability remains uncertain	İngiltere'nin Gelecekteki Tank Kapasitesinin Teslimatı Belirsizliğini Koruyor
64	TASS	Trump claims Iran repeatedly rejected US nuclear deal	Trump, İran'ın ABD'nin Nükleer Anlaşmasını Defalarca Reddettiğini İddia Etti
65	TASS	US to gain permanent control over Greenland’s security — Trump	ABD, Grönland'ın Güvenliği Üzerinde Kalıcı Kontrol Kazanacak — Trump
66	defenceWeb	Motshekga names AAD 2028 dates and lead partner	Motshekga, AAD 2028 Tarihlerini ve Ana Ortağı Açıkladı
67	Eurasianet	Kremlin switching gears with Armenia	Kremlin, Ermenistan ile Vites Değiştiriyor
68	Kookbang Ilbo	6·25전쟁 영웅 고 한길진 하사 유해 가족 품에	Kore Savaşı Kahramanı Merhum Çavuş Han Gil-jin'in Kalıntıları Ailesiyle Buluştu
69	Armada International	FQ-42 Vengeance Finds New Home at Creech Air Force BASE	FQ-42 Vengeance, Creech Hava Kuvvetleri Üssü'nde Yeni Evini Buldu
70	Interfax	Авиакомпании РФ могут ввести сбор на поддержку эксплуатации SJ-100 и МС-21	Rusya Havayolları, SJ-100 ve MC-21'in İşletilmesini Desteklemek için Ücret Getirebilir
71	TASS	US to supply allies with weapons 'at faster rate' in near future — President Trump	ABD, Yakın Gelecekte Müttefiklerine Silahları 'Daha Hızlı Bir Oranda' Tedarik Edecek — Başkan Trump
72	Interfax	ФСБ сообщила о задержании жителя Керчи за организацию сбора средств для ВСУ	FSB, Kerç Sakini Bir Kişiyi Ukrayna Silahlı Kuvvetleri için Bağış Toplama Organizasyonu Nedeniyle Gözaltına Aldığını Bildirdi
73	Defence24 (PL)	Koniec z marketingiem z folderów. Bieszczady Tactical Dark Expo (BTDE 2026) zweryfikuje sprzęt wojskowy w warunkach bojowych	Broşür Pazarlamasına Son. Bieszczady Tactical Dark Expo (BTDE 2026) Askeri Ekipmanı Muharebe Koşullarında Test Edecek
74	Defence24 (PL)	Nagła zmiana wizyty Kosiniaka-Kamysza w Pentagonie. USA podają powód	Kosiniak-Kamysz'ın Pentagon Ziyaretinde Ani Değişiklik. ABD Nedenini Açıkladı
75	DroneXL	Insta360 Luna Pro Review: 8K Gimbal Camera Tested in Alaska Wind	Insta360 Luna Pro İncelemesi: 8K Gimbal Kamera Alaska Rüzgarında Test Edildi
76	Naval News	Australia and New Zealand strengthen naval partnership	Avustralya ve Yeni Zelanda Deniz Kuvvetleri Ortaklığını Güçlendiriyor
77	TASS	Bank of Russia buys 2 bln rubles' worth of yuan for settlement on September 21	Rusya Merkez Bankası, 21 Eylül'de Takas için 2 Milyar Ruble Değerinde Yuan Satın Aldı
78	TASS	Russian foreign minister arrives in New York to attend 81st session of UN General Assembly	Rusya Dışişleri Bakanı BM Genel Kurulu'nun 81. Oturumuna Katılmak için New York'a Geldi
79	Defence24 (EN)	The mechanics of control: How Russia manages its ballots	Kontrolün Mekaniği: Rusya Oy Pusulalarını Nasıl Yönetiyor
80	TASS	Russian forces strike Ukrainian metallurgical, chemical industry sites — top brass	Rus Güçleri, Ukrayna'nın Metalurji ve Kimya Sanayisi Tesislerini Vurdu — Üst Düzey Komutanlık
81	Airforce Technology	HAL delivers final Tejas trainers, HTT-40 aircraft to IAF	HAL, IAF'ye Son Tejas Eğitim Uçaklarını ve HTT-40 Uçaklarını Teslim Etti
82	TASS	Russia to address in detail objectives of special mil-op at UNGA — diplomat	Rusya, BM Genel Kurulu'nda Özel Askeri Operasyonun Hedeflerini Ayrıntılı Olarak Ele Alacak — Diplomat
83	Defence Security Asia	F-35A Korea Selatan Diisi Minyak Pesawat Perancis, Rafale Uji Jangkauan Indo-Pasifik	Güney Kore F-35A'sı Fransız Uçağından Yakıt Aldı, Rafale Hint-Pasifik Menzilini Sınadı
84	TASS	‘Sanctions from hell’ law not expected to hurt Russian exports	'Cehennemden Yaptırımlar' Yasasının Rusya İhracatına Zarar Vermesi Beklenmiyor
85	TASS	NABU winning 'smear campaign' in Ukraine — former SBU employee	NABU Ukrayna'da 'Karalama Kampanyası'nı Kazanıyor — Eski SBU Çalışanı
86	Naval News	Japan’s Onomichi Dockyard Partnering With Bulwark Dynamics On Caravel USV	Japonya'nın Onomichi Tersanesi, Caravel USV İçin Bulwark Dynamics ile İş Birliği Yapıyor
87	Defense Daily	Honeywell Proposes ‘P40’ Upgrade for F-35’s PTMS	Honeywell, F-35’in PTMS’si İçin “P40” Yükseltmesini Öneriyor
88	Interfax	Режим беспилотной опасности отменен в Челябинской области	Çelyabinsk Bölgesi'nde İHA Tehlikesi Rejimi Kaldırıldı
89	Defense News	The Pentagon asked industry how fast it could make more weapons. The numbers remain private.	Pentagon, Sektöre Daha Fazla Silahı Ne Kadar Hızlı Üretebileceğini Sordu, Rakamlar Gizli Kalıyor
90	European Security & Defence	The M941 Tournai has arrived in Zeebruges	M941 Tournai Zeebrugge'ye Ulaştı
91	Breaking Defense	Trump orders all US agencies to refer to AI as ‘super intelligence’	Trump, Tüm ABD Kurumlarına Yapay Zekayı "Süper Zeka" Olarak Adlandırma Emri Verdi
92	ESUT	DEUTZ und Hypercraft bauen gemeinsam UGV-Systeme	DEUTZ ve Hypercraft Birlikte UGV Sistemleri Üretiyor
93	Interfax	Пентагон сообщил о 19 погибших военных США в ходе конфликта с Ираном	Pentagon, İran ile Yaşanan Çatışmada 19 ABD Askerinin Hayatını Kaybettiğini Bildirdi
94	Kookbang Ilbo	국군수도병원 군의관, 군 최초 ‘외상성 대동맥 박리’ 시술 성공	Ulusal Güvenlik Hastanesi askeri doktor ordunun ilk travmatik aort diseksiyonu operasyonunda başarılı
95	Defence24 (PL)	Wtorkowy przegląd mediów; Chiny symulują atak; Polska odebrała kolejne Abramsy	Salı Günü Medya Özeti; Çin Saldırı Simülasyonu Yapıyor; Polonya Yeni Abrams Tanklarını Teslim Aldı
96	SCMP (Çin)	China’s stealth fighters, critical minerals from lithium waste: 7 science highlights	Çin'in Hayalet Savaş Uçakları, Lityum Atığından Kritik Madenler: Bilimde 7 Öne Çıkan Gelişme
97	SCMP (Çin)	US, China need nuclear-style AI safeguards, congressman says before Xi-Trump summit	ABD ve Çin'in Nükleer Tarzı Yapay Zeka Güvenceleri Gerekiyor — Kongre Üyesi, Xi-Trump Zirvesi Öncesi
98	DroneXL	Amazon Drones Overwhelm Texas Suburb, NYT Says. FAA Signed Off In July	NYT'ye Göre Amazon Dronları Teksas Banliyösünü Bunalttı, FAA Temmuz'da Onay Verdi
99	Defence24 (PL)	Debata o przyszłości PGZ na MSPO 2026: własne systemy satelitarne, spójna łączność i odejście od reaktywności	MSPO 2026'da PGZ'nin Geleceği Tartışıldı: Kendi Uydu Sistemleri, Tutarlı Muhabere ve Reaktiviteden Uzaklaşma
100	The Print — Defence	The grievance of ’65 war hero Alfred Cooke. Low ammo while hunting Sabres & an omission in citation	'65 Savaşı Kahramanı Alfred Cooke'un Şikayeti. Sabre Avlarken Az Mühimmat ve Takdirnamedeki Eksiklik
